,gene_ids,new_names
17547,AT1G15390,PDF1A
17548,AT4G30000,AT4G30000
17549,AT1G29040,AT1G29040
17550,AT2G25590,AT2G25590
17551,AT3G60130,BGLU16
17552,AT4G19820,AT4G19820
17553,AT1G53770,AT1G53770
17554,AT5G39540,AT5G39540
17555,AT3G49601,AT3G49601
17556,AT5G65940,CHY1
17557,AT1G34210,SERK2
17558,AT1G52130,JAL13
17559,AT5G22390,AT5G22390
17560,AT4G19190,AT4G19190
17561,AT1G32260,AT1G32260
17562,AT4G06526,AT4G06526
17563,AT5G54820,AT5G54820
17564,AT1G23915,AT1G23915
17565,AT3G52740,BIC1
17566,AT5G36400,AT5G36400
17567,AT1G24764,ATMAP70-2
17568,AT2G36480,AT2G36480
17569,AT5G37030,AT5G37030
17570,AT3G46480,AT3G46480
17571,AT2G03750,SOT11
17572,AT5G10360,RPS6B
17573,AT1G20875,AT1G20875
17574,AT5G03990,AT5G03990
17575,AT2G27285,AT2G27285
17576,AT1G03930,CKL9
17577,AT4G14490,AT4G14490
17578,AT5G22630,ADT5
17579,AT1G36990,AT1G36990
17580,AT1G78840,AT1G78840
17581,AT2G45350,CRR4
17582,AT5G49530,AT5G49530
17583,AT5G12000,AT5G12000
17584,AT1G46336,AT1G46336
17585,AT2G23520,AT2G23520
17586,AT2G29070,AT2G29070
17587,AT1G32790,CID11
17588,AT2G24400,AT2G24400
17589,AT2G17960,AT2G17960
17590,AT5G64540,AT5G64540
17591,AT2G39460,RPL23AA
17592,AT2G31810,AT2G31810
17593,AT2G40580,AT2G40580
17594,AT1G32550,FdC1
17595,AT1G14210,AT1G14210
17596,AT3G52660,AT3G52660
17597,AT2G32470,AT2G32470
17598,AT5G06860,PGIP1
17599,AT2G14460,AT2G14460
17600,AT5G02110,CYCD7-1
17601,AT3G58680,MBF1B
17602,AT5G18990,PME55
17603,AT2G37585,GLCAT14C
17604,AT4G13310,CYP71A20
17605,AT5G37247,AT5G37247
17606,AT4G37470,KAI2
17607,AT1G06920,OFP4
17608,AT5G26110,AT5G26110
17609,AT3G30530,ATBZIP42
17610,AT4G28980,CDKF-1
17611,AT4G18465,AT4G18465
17612,AT2G30010,TBL45
17613,AT1G12920,ERF1-2
17614,AT1G18670,IBS1
17615,AT5G41990,WNK8
17616,AT4G19800,AT4G19800
17617,AT3G12320,LNK3
17618,AT3G32160,AT3G32160
17619,AT3G15140,AT3G15140
17620,AT1G50440,AT1G50440
17621,AT1G49540,ELP2
17622,AT3G03440,AT3G03440
17623,AT2G16740,UBC29
17624,AT4G34510,KCS17
17625,AT3G51820,CHLG
17626,AT1G33860,AT1G33860
17627,AT3G13470,CPN60B2
17628,AT1G29590,EIF4E2
17629,AT2G46070,ATMPK12
17630,AT5G08060,AT5G08060
17631,AT1G80400,AT1G80400
17632,AT5G63087,AT5G63087
17633,AT4G24030,AT4G24030
17634,AT1G29020,AT1G29020
17635,AT2G44520,COX10
17636,AT3G43574,AT3G43574
17637,AT1G65880,AAE20
17638,AT5G18690,AGP25
17639,AT2G42650,AT2G42650
17640,AT2G04115,AT2G04115
17641,AT2G40910,AT2G40910
17642,AT2G23700,AT2G23700
17643,AT5G16370,AAE5
17644,AT5G49340,TBL4
17645,AT1G53000,KDSB
17646,AT5G58270,ABCB25
17647,AT3G54350,emb1967
17648,AT4G05430,AT4G05430
17649,AT2G43360,BIO2
17650,AT2G46230,AT2G46230
17651,AT5G66210,CPK28
17652,AT5G17390,AT5G17390
17653,AT1G55690,SFH13
17654,AT1G72490,AT1G72490
17655,AT4G00890,AT4G00890
17656,AT1G21670,AT1G21670
17657,AT4G12220,AT4G12220
17658,AT1G78460,AT1G78460
17659,AT2G01140,FBA3
17660,AT1G60220,ULP1D
17661,AT1G56180,AT1G56180
17662,AT1G58450,TPR6
17663,AT1G32910,AT1G32910
17664,AT3G49645,AT3G49645
17665,AT4G33465,SCRL22
17666,AT5G34940,AtGUS3
17667,AT3G22125,AT3G22125
17668,AT1G20590,CYCB2-5
17669,AT2G17310,SON1
17670,AT3G46320,AT3G46320
17671,AT3G45620,AT3G45620
17672,AT3G17550,AT3G17550
17673,AT5G42590,CYP71A16
17674,AT1G25141,AT1G25141
17675,AT3G25040,ERD2B
17676,AT3G45330,LECRK11
17677,AT3G60850,AT3G60850
17678,AT5G07475,AT5G07475
17679,AT1G01920,AT1G01920
17680,AT2G10931,AT2G10931
17681,AT3G10080,AT3G10080
17682,AT1G24267,AT1G24267
17683,AT4G23610,AT4G23610
17684,AT5G01680,CHX26
17685,AT3G18230,AT3G18230
17686,AT3G10500,NAC053
17687,AT4G33320,AT4G33320
