,sample1,sample2,sample3
AT2G37960,291.2150764,337.3383887,350.8754219
AT2G08900,1.066721891,0,1.954737726
AT2G08905,1.066721891,0,0.977368863
AT2G08910,0,0,1.954737726
AT2G08915,135.4736802,119.6703222,157.356387
AT2G37970,157.8748399,137.5737563,188.6321906
AT2G37975,637.8996911,537.1030211,649.950294
AT2G37980,98.13841401,76.32516615,118.2616324
AT2G37990,3215.099781,3224.502698,3540.030022
AT2G38000,981.3841401,1020.49574,1083.902069
AT2G38010,378.6862715,432.5092748,414.404398
AT2G38020,1275.799382,1051.591178,1156.227365
AT2G38025,937.6485426,1006.36145,863.994075
AT2G38040,4805.582121,5227.802738,4295.536154
AT2G38050,704.0364484,532.391591,616.7197527
AT2G38060,185.6096091,160.1886203,185.700084
AT2G38070,437.3559755,440.9898489,440.7933573
AT2G38080,1722.755855,90.45945618,18.5700084
AT2G38090,394.6870998,361.8378247,231.6364206
AT2G38100,4.266887566,0,0
AT2G38110,2618.802243,786.8088115,1093.675758
AT2G38120,2176.112659,2659.131097,1923.461923
AT2G08935,0,0,0
AT2G38130,1032.586791,1093.051762,975.4141254
AT2G38140,3981.006099,4356.188187,3397.334168
AT2G38150,24.5346035,24.49943605,11.72842636
AT2G38152,0,21.67257804,16.61527067
AT2G38160,613.3650876,814.1351056,944.1383218
AT2G38170,5085.063257,6025.918982,3233.136199
AT2G08940,0,0,0
AT2G38180,781.9071464,501.296153,473.0465298
AT2G38185,328.5503426,380.6835447,340.1243644
AT2G38195,131.2067926,166.7846223,161.2658624
AT2G38210,116.2726862,282.6858006,116.3068947
AT2G38220,0,0,0
AT2G38230,410.6879282,787.7510975,373.3549057
AT2G38240,13.86738459,0,0
AT2G38250,36.26854431,33.92229607,5.864213179
AT2G38255,4.266887566,12.24971802,5.864213179
AT2G38270,1059.254838,1516.138177,867.9035505
AT2G38280,2048.106032,1994.819466,2008.493014
AT2G38290,1131.791927,1157.12721,876.6998703
AT2G38300,3.200165674,4.711430009,0
AT2G38310,1216.062956,1686.691943,1084.879438
AT2G08945,0,0,0
AT2G08950,0,0,0
AT2G38320,74.6705324,30.15315206,2.932106589
AT2G38325,2.133443783,2.826858006,0
AT2G08955,1.066721891,1.884572004,0.977368863
AT2G38330,845.9104599,942.2860018,978.346232
AT2G38340,116.2726862,93.28631418,163.2206001
AT2G08960,1.066721891,0.942286002,0.977368863
AT2G38350,1.066721891,2.826858006,0
AT2G38360,492.8255138,653.9464853,509.2091777
AT2G38365,0,0,0
AT2G38370,1535.012802,1523.676465,1639.047584
AT2G38380,13.86738459,4.711430009,1.954737726
AT2G38390,0,0,0
AT2G38400,784.0405902,473.9698589,562.9644652
AT2G38410,1002.718578,988.4580159,1155.249996
AT2G38420,483.2250168,371.2606847,432.9744064
AT2G38430,300.8155734,303.4160926,346.9659464
AT2G38440,2428.925747,2661.957955,2314.409468
AT2G38450,867.2448977,854.6534037,834.6730091
AT2G38460,198.4102718,132.8623263,134.8769031
AT2G38465,80.00414186,32.98001006,63.52897611
AT2G38470,412.821372,229.9177845,333.2827823
AT2G08965,34.13510053,11.30743202,24.43422158
AT2G38480,148.2743429,98.94003019,115.3295259
AT2G38490,4.266887566,6.596002013,2.932106589
